STATION,NAME,DATE,AWND,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10
USW00014732,"LAGUARDIA AIRPORT, NY US",3/27/2019,10.29,,0,,0,0,40,44,34,40,60,15,21.9,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",3/28/2019,9.84,,0,,0,0,42,51,37,160,170,21,25.9,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",3/29/2019,6.93,,0,,0,0,51,59,47,220,230,13,17,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",3/30/2019,12.3,,0,,0,0,55,65,46,170,170,25.9,36,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",3/31/2019,15.43,,0.08,,0,0,52,60,39,320,320,29.1,35.1,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",4/1/2019,15.21,,0,,0,0,40,46,33,300,290,29.1,36.9,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",4/2/2019,10.96,,0,,0,0,43,50,37,60,180,19.9,25.9,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",4/3/2019,17.45,,0,,0,0,50,67,41,290,250,35.1,46.1,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",4/4/2019,14.32,,0,,0,0,52,59,44,310,310,25.9,33.1,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",4/5/2019,10.51,,0.23,,0,0,42,45,39,40,60,17,19.9,1,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",4/6/2019,6.93,,0,,0,0,47,66,39,310,310,17,19.9,1,,,,,,,1,,
USW00014732,"LAGUARDIA AIRPORT, NY US",4/7/2019,8.5,,0,,0,0,56,63,47,160,180,19.9,23.9,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",4/8/2019,11.41,,0.25,,0,0,62,79,47,260,250,21.9,28,1,,,,,,,1,,
USW00014732,"LAGUARDIA AIRPORT, NY US",4/9/2019,8.72,,0.02,,0,0,47,50,43,160,60,16.1,23,1,1,1,,,,,1,,
USW00014732,"LAGUARDIA AIRPORT, NY US",4/10/2019,13.42,,0,,0,0,51,58,44,320,330,23.9,31.1,1,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",4/11/2019,7.16,,0,,0,0,45,52,40,20,20,18.1,21.9,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",4/12/2019,12.3,,0.48,,0,0,51,66,45,180,170,23,33.1,1,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",4/13/2019,9.17,,0.28,,0,0,63,75,58,170,170,17,21,1,,,,,,,1,,
USW00014732,"LAGUARDIA AIRPORT, NY US",4/14/2019,8.95,,0,,0,0,63,70,56,190,190,18.1,23.9,1,1,,,,,,1,,
USW00014732,"LAGUARDIA AIRPORT, NY US",4/15/2019,19.91,,0.78,,0,0,56,62,45,300,310,38,50.1,1,,1,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",4/16/2019,18.12,,0,,0,0,51,64,44,300,290,30,40,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",4/17/2019,8.28,,0.01,,0,0,53,61,47,190,190,18.1,23,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",4/18/2019,11.41,,0,,0,0,54,63,50,170,170,18.1,25.9,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",4/19/2019,13.65,,0.1,,0,0,62,76,55,170,190,23.9,35.1,1,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",4/20/2019,15.21,,0.58,,0,0,60,63,54,160,160,30,38.9,1,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",4/21/2019,8.72,,0,,0,0,56,64,51,160,160,19.9,23.9,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",4/22/2019,8.5,,0.29,,0,0,55,60,49,340,340,19.9,23,1,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",4/23/2019,8.5,,0.1,,0,0,61,75,54,190,180,21,25.9,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",4/24/2019,12.3,,0.01,,0,0,64,68,54,300,290,23.9,30,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",4/25/2019,8.28,,0.01,,0,0,56,63,49,160,160,15,19,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",4/26/2019,12.3,,1.1,,0,0,53,61,50,290,280,25.9,35.1,1,,1,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",4/27/2019,16.78,,0.11,,0,0,55,57,48,290,290,33.1,40,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",4/28/2019,10.51,,0,,0,0,50,52,46,350,310,19.9,23.9,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",4/29/2019,9.4,,0.02,,0,0,50,59,44,160,200,18.1,23.9,,,,,,,,1,,
USW00014732,"LAGUARDIA AIRPORT, NY US",4/30/2019,7.16,,0.05,,0,0,51,57,48,60,50,17,21,1,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",5/1/2019,8.05,,0.01,,0,0,52,55,48,160,160,15,19,1,1,,,,,,1,,
USW00014732,"LAGUARDIA AIRPORT, NY US",5/2/2019,7.83,,0,,0,0,55,71,47,50,50,21,23,1,1,,,,,,1,,
USW00014732,"LAGUARDIA AIRPORT, NY US",5/3/2019,8.95,,0.13,,0,0,51,52,48,50,40,13,19.9,1,,1,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",5/4/2019,4.47,,0.06,,0,0,55,68,50,60,60,14.1,21.9,1,,,,,,,1,,
USW00014732,"LAGUARDIA AIRPORT, NY US",5/5/2019,14.32,,1.33,,0,0,53,54,49,50,40,25.1,30,1,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",5/6/2019,8.95,,0,,0,0,55,67,49,40,30,21.9,30,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",5/7/2019,8.72,,0.06,,0,0,57,65,51,170,170,19.9,23.9,1,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",5/8/2019,7.83,,0,,0,0,60,68,54,190,190,16.1,21,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",5/9/2019,11.86,,0,,0,0,56,61,52,130,90,18.1,23.9,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",5/10/2019,9.62,,0.04,,0,0,62,73,56,140,210,16.1,21.9,1,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",5/11/2019,8.5,,0.01,,0,0,65,70,57,330,330,18.1,23,,,,,,,,,,
