STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/24/2019,5.37,,0,0,0,61,76,47,200,190,18.1,25.1,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/25/2019,8.05,,0.34,0,0,62,71,54,290,310,21,30,,,1,,1,,,1,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/26/2019,10.07,,0.04,0,0,56,64,50,340,350,17,23.9,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/27/2019,8.95,,0,0,0,55,63,47,70,80,21,27.1,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/28/2019,4.92,,0,0,0,54,69,41,90,130,10.1,15,,,,,,,,1,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/29/2019,4.7,,0,0,0,61,73,49,220,260,13,17,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/30/2019,8.5,,0,0,0,65,77,55,210,240,19.9,28,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/31/2019,15.66,,0.1,0,0,56,68,43,330,310,23.9,35.1,1,,1,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/1/2019,9.62,,0,0,0,48,61,38,80,80,19.9,23.9,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/2/2019,8.72,,0,0,0,53,64,46,280,310,17,21.9,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/3/2019,4.03,,0,0,0,57,73,44,180,360,10.1,13,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/4/2019,6.49,,0.11,0,0,62,70,49,160,120,18.1,23.9,1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/5/2019,6.93,,0.07,0,0,64,76,56,330,130,14.1,21,1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/6/2019,7.83,,0,0,0,65,73,59,70,80,14.1,16.1,1,,1,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/7/2019,5.59,,1.08,0,0,69,80,62,290,290,21,27.1,1,,1,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/8/2019,7.83,,0,0,0,70,75,65,220,210,18.1,29.1,1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/9/2019,5.82,,0.08,0,0,68,76,61,340,330,25.1,32,1,,1,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/10/2019,5.37,,0,0,0,69,82,59,350,360,13,17,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/11/2019,9.84,,0.01,0,0,72,82,63,160,160,19.9,28,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/12/2019,7.61,,0.05,0,0,72,78,66,140,150,18.1,25.1,1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/13/2019,7.38,,0,0,0,71,83,62,190,170,21,25.1,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/14/2019,16.33,,1.29,0,0,73,77,53,190,230,29.1,44.1,1,,1,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/15/2019,13.65,,0,0,0,56,67,45,300,310,28,35.1,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",4/16/2019,5.14,,0,0,0,60,76,48,150,160,13,16.1,,,,,,,,,
