STATION,NAME,DATE,AWND,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WESD,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT10
USW00014739,"BOSTON, MA US",3/15/2019,12.97,,0.2,,0,,52,64,40,,210,210,,25.1,36,1,,1,,,,,,
USW00014739,"BOSTON, MA US",3/16/2019,18.79,,0,,0,,50,56,36,,270,250,,33.1,42.9,,,,,,,,,
USW00014739,"BOSTON, MA US",3/17/2019,14.09,,0,,0,,38,43,32,,270,270,,23,32,,,,,,,,,
USW00014739,"BOSTON, MA US",3/18/2019,10.29,,0,,0,,36,44,28,,250,310,,19.9,23.9,,,,,,,,,
USW00014739,"BOSTON, MA US",3/19/2019,7.83,,0,,0,,39,48,32,,280,290,,16.1,27.1,,,,,,,,,
USW00014739,"BOSTON, MA US",3/20/2019,10.51,,0,,0,,40,51,31,,210,190,,21,25.1,,,,,,,,,
USW00014739,"BOSTON, MA US",3/21/2019,10.74,,0,,0,,43,52,33,,180,180,,21,25.1,,,,,,,,,
USW00014739,"BOSTON, MA US",3/22/2019,21.03,,0.88,,0,,41,44,40,,20,30,,35.1,44.1,1,,,,,,,,
USW00014739,"BOSTON, MA US",3/23/2019,21.7,,0.04,,0,,41,48,34,,290,290,,33.1,42.9,1,,,,,,,,
USW00014739,"BOSTON, MA US",3/24/2019,13.2,,0,,0,,44,60,34,,240,250,,23,28,,,,,,,,,
USW00014739,"BOSTON, MA US",3/25/2019,10.29,,0,,0,,47,52,36,,280,290,,18.1,23.9,,,,,,,,,
USW00014739,"BOSTON, MA US",3/26/2019,10.07,,0,,0,,37,44,31,,320,340,,17,23,,,,,,,,,
USW00014739,"BOSTON, MA US",3/27/2019,10.74,,0,,0,,36,41,30,,200,160,,16.1,19,,,,,,,,,
USW00014739,"BOSTON, MA US",3/28/2019,15.21,,0.01,,0,,41,54,33,,200,200,,25.1,32,,,,,,,,,
USW00014739,"BOSTON, MA US",3/29/2019,11.41,,0.03,,0,,49,58,44,,230,230,,21.9,25.9,,,,,,,,,
USW00014739,"BOSTON, MA US",3/30/2019,11.63,,0,,0,,51,67,44,,190,200,,29.1,35.1,1,,,,,,1,,
USW00014739,"BOSTON, MA US",3/31/2019,17,,0.09,,0,,58,70,41,,190,190,,38,50.1,1,,,,,,,,
USW00014739,"BOSTON, MA US",4/1/2019,16.11,,0,,0,,42,47,37,,290,280,,28,38,,,,,,,,,
USW00014739,"BOSTON, MA US",4/2/2019,10.51,,0.05,,0,,42,53,30,,180,160,,21.9,25.9,,,,,,,,,
USW00014739,"BOSTON, MA US",4/3/2019,18.12,,0.4,,0,,47,65,40,,270,280,,38,55.9,1,,,,,,,,
USW00014739,"BOSTON, MA US",4/4/2019,17.67,,0,,0,,46,53,38,,290,300,,29.1,40,,,,,,,,,
USW00014739,"BOSTON, MA US",4/5/2019,10.51,,0.13,,0,,40,46,35,,110,280,,18.1,21.9,1,,,,,,,,
USW00014739,"BOSTON, MA US",4/6/2019,7.38,,0.09,,0,,47,67,37,,320,320,,18.1,23.9,1,,,,,,,,
USW00014739,"BOSTON, MA US",4/7/2019,8.28,,0,,0,,55,69,43,,200,230,,18.1,23.9,,,,,,,,,
USW00014739,"BOSTON, MA US",4/8/2019,11.63,,0.31,,0,,47,54,37,,50,50,,25.1,31.1,1,,,,,,,,
USW00014739,"BOSTON, MA US",4/9/2019,9.84,,0.06,,0,,38,41,36,,120,120,,19.9,23,1,,,,,,,,
USW00014739,"BOSTON, MA US",4/10/2019,13.65,,0.01,,0,,42,47,36,,330,320,,25.1,31.1,,,,,,,,,
USW00014739,"BOSTON, MA US",4/11/2019,9.84,,0,,0,,42,52,35,,330,320,,18.1,23.9,,,,,,,,,
USW00014739,"BOSTON, MA US",4/12/2019,8.5,,0.11,,0,,47,58,41,,190,190,,19.9,23.9,1,,,,,,,,
USW00014739,"BOSTON, MA US",4/13/2019,14.09,,0.28,,0,,62,75,57,,220,220,,23.9,32,1,,,,,,,,
USW00014739,"BOSTON, MA US",4/14/2019,7.61,,0.04,,0,,59,67,49,,90,90,,19.9,23,1,,,,,,,,
USW00014739,"BOSTON, MA US",4/15/2019,16.11,,0.72,,0,,56,70,45,,270,300,,32,42.9,1,,1,,,,,,
USW00014739,"BOSTON, MA US",4/16/2019,18.34,,0,,0,,50,61,43,,280,300,,29.1,40,,,,,,,,,
USW00014739,"BOSTON, MA US",4/17/2019,12.08,,0,,0,,51,60,45,,100,110,,19.9,23,,,,,,,,,
USW00014739,"BOSTON, MA US",4/18/2019,10.96,,0,,0,,48,63,43,,210,200,,28,36,,,,,,,,,
