"TAIL_NUMBER","NUMBER_OF_SEATS","MANUFACTURER","MODEL",
"N442AS",181,"TheBoeingCompany","B737-990ERALLPAX",
"N442QX",70,"DeHavilland","DHC8-400",
"N442SW",50,"Bombardier","CRJ200-2B19",
"N442UA",142,"AirbusIndustries","AirbusA320-232",
"N442UP",0,"Boeing","757-24APF",
"N442WN",143,"THEBOEINGCO","B-737-7H4",
"N442YX",76,"Embraer","ERJ-170-200LR",
"N443QX",70,"DeHavilland","DHC8-400",
"N443SW",50,"Bombardier","CRJ200-2B19",
"N443UA",142,"AirbusIndustries","AirbusA320-232",
"N443UP",0,"Boeing","757-24APF",
"N443WN",143,"THEBOEINGCO","B-737-7H4",
"N443YX",76,"Embraer","ERJ-170-200LR",
"N444QX",70,"DeHavilland","DHC8-400",
"N444UA",142,"AirbusIndustries","AirbusA320-232",
"N444UP",0,"Boeing","757-24APF",
"N444WN",143,"THEBOEINGCO","B-737-7H4",
"N444YX",76,"Embraer","ERJ-170-200LR",
"N445MC",0,"BOEING","B747-400",
"N445QX",70,"DeHavilland","DHC8-400",
"N445SW",50,"Bombardier","CRJ200-2B19",
"N445UA",142,"AirbusIndustries","AirbusA320-232",
"N445UP",0,"Boeing","757-24APF",
"N445WN",143,"THEBOEINGCO","B-737-7H4",
"N445YX",76,"Embraer","ERJ-170-200LR",
"N446MC",0,"BOEING","B747-400",
"N446QX",70,"DeHavilland","DHC8-400",
"N446SW",50,"Bombardier","CRJ200-2B19",
"N446UA",142,"AirbusIndustries","AirbusA320-232",
"N446UP",0,"Boeing","757-24APF",
"N446WN",143,"THEBOEINGCO","B-737-7H4",
"N446YX",76,"Embraer","ERJ-170-200LR",
"N447QX",70,"DeHavilland","DHC8-400",
"N447SW",50,"Bombardier","CRJ200-2B19",
"N447UA",142,"AirbusIndustries","AirbusA320-232",
"N447UP",0,"Boeing","757-24APF",
"N447WN",143,"THEBOEINGCO","B-737-7H4",
"N447YX",76,"Embraer","ERJ-170-200LR",
"N448AS",181,"TheBoeingCompany","B737-990ERALLPAX",
"N448QX",70,"DeHavilland","DHC8-400",
"N448SW",50,"Bombardier","CRJ200-2B19",
"N448UA",142,"AirbusIndustries","AirbusA320-232",
"N448UP",0,"Boeing","757-24APF",
"N448WN",143,"THEBOEINGCO","B-737-7H4",
"N449SW",50,"Bombardier","CRJ200-2B19",
"N449UA",142,"AirbusIndustries","AirbusA320-232",
"N449UP",0,"Boeing","757-24APF",
"N449WN",143,"THEBOEINGCO","B-737-7H4",
"N450PA",0,"BOEING","B747-400",
"N450QX",70,"DeHavilland","DHC8-400",
"N450UP",0,"Boeing","757-24APF",
"N450WN",143,"THEBOEINGCO","B-737-7H4",
"N451PA",0,"BOEING","B747-400",
"N451QX",70,"DeHavilland","DHC8-400",
"N451UA",142,"AirbusIndustries","AirbusA320-232",
"N451UP",0,"Boeing","757-24APF",
"N451WN",143,"THEBOEINGCO","B-737-7H4",
"N452PA",0,"BOEING","B747-400",
"N452QX",70,"DeHavilland","DHC8-400",
"N452SW",50,"Bombardier","CRJ200-2B19",
"N452UA",142,"AirbusIndustries","AirbusA320-232",
"N452UP",0,"Boeing","757-24APF",
"N452WN",143,"THEBOEINGCO","B-737-7H4",
"N453AS",181,"TheBoeingCompany","B737-990ERALLPAX",
"N453PA",0,"BOEING","B747-400",
"N453QX",70,"DeHavilland","DHC8-400",
"N453SW",50,"Bombardier","CRJ200-2B19",
"N453UA",142,"AirbusIndustries","AirbusA320-232",
"N453UP",0,"Boeing","757-24APF",
"N453WN",143,"THEBOEINGCO","B-737-7H4",
"N45440",173,"BoeingCo","B737-900ERPAX",
"N454PA",0,"BOEING","B747-400",
"N454UA",142,"AirbusIndustries","AirbusA320-232",
"N454UP",0,"Boeing","757-24APF",
"N454WN",143,"THEBOEINGCO","B-737-7H4",
"N455CA",50,"Bombardier","CRJ200-2B19",
"N455SW",50,"Bombardier","CRJ200-2B19",
"N455UA",142,"AirbusIndustries","AirbusA320-232",
"N455UP",0,"Boeing","757-24APF",
"N455WN",143,"THEBOEINGCO","B-737-7H4",
"N456UA",142,"AirbusIndustries","AirbusA320-232",
"N456UP",0,"Boeing","757-24APF",
"N456WN",143,"THEBOEINGCO","B-737-7H4",
"N457AS",181,"TheBoeingCompany","B737-990ERALLPAX",
"N457UA",142,"AirbusIndustries","AirbusA320-232",
"N457UP",0,"Boeing","757-24APF",
"N457WN",143,"THEBOEINGCO","B-737-7H4",
"N458UA",142,"AirbusIndustries","AirbusA320-232",
"N458UP",0,"Boeing","757-24APF",
"N458WN",143,"THEBOEINGCO","B-737-7H4",
"N45905",219,"BoeingCo","B787-800PAX",
"N45956",219,"BoeingCo","B787-900PAX",
"N459AS",181,"TheBoeingCompany","B737-990ERALLPAX",
"N459SW",50,"Bombardier","CRJ200-2B19",
"N459UA",142,"AirbusIndustries","AirbusA320-232",
"N459UP",0,"Boeing","757-24APF",
"N459WN",143,"THEBOEINGCO","B-737-7H4",
"N460SW",50,"Bombardier","CRJ200-2B19",
"N460UA",142,"AirbusIndustries","AirbusA320-232",
"N460UP",0,"Boeing","757-24APF",
"N460WN",143,"THEBOEINGCO","B-737-7H4",
"N461AS",181,"TheBoeingCompany","B737-990ERALLPAX",
"N461SW",50,"Bombardier","CRJ200-2B19",
"N461UA",142,"AirbusIndustries","AirbusA320-232",
"N461UP",0,"Boeing","757-24APF",
"N461WN",143,"THEBOEINGCO","B-737-7H4",
"N462AS",181,"TheBoeingCompany","B737-990ERALLPAX",
"N462UA",142,"AirbusIndustries","AirbusA320-232",
"N462UP",0,"Boeing","757-24APF",
"N462WN",143,"THEBOEINGCO","B-737-7H4",
"N463SW",50,"Bombardier","CRJ200-2B19",
"N463UA",142,"AirbusIndustries","AirbusA320-232",
"N463UP",0,"Boeing","757-24APF",
"N463WN",143,"THEBOEINGCO","B-737-7H4",
"N464AS",181,"TheBoeingCompany","B737-990ERALLPAX",
"N464MC",524,"BOEING","B747-400",
"N464SW",50,"Bombardier","CRJ200-2B19",
"N464UA",142,"AirbusIndustries","AirbusA320-232",
"N464UP",0,"Boeing","757-24APF",
"N464WN",143,"THEBOEINGCO","B-737-7H4",
"N465MC",524,"BOEING","B747-400",
"N465SW",50,"Bombardier","CRJ200-2B19",
"N465TW",60,"Boeing","737-205",
"N465UA",142,"AirbusIndustries","AirbusA320-232",
"N465UP",0,"Boeing","757-24APF",
"N465WN",143,"THEBOEINGCO","B-737-7H4",
"N466SW",50,"Bombardier","CRJ200-2B19",
"N466UA",142,"AirbusIndustries","AirbusA320-232",
"N466UP",0,"Boeing","757-24APF",
"N466WN",143,"THEBOEINGCO","B-737-7H4",
"N467AS",181,"TheBoeingCompany","B737-990ERALLPAX",
"N467TW",60,"Boeing","737-205",
"N467UA",142,"AirbusIndustries","AirbusA320-232",
"N467UP",0,"Boeing","757-24APF",
"N467WN",143,"THEBOEINGCO","B-737-7H4",
"N468AS",181,"TheBoeingCompany","B737-990ERALLPAX",
"N468CA",50,"Bombardier","CRJ200-2B19",
"N468GH",13,"Bombardier","BD-700-1A11PSGR",
"N468UA",142,"AirbusIndustries","AirbusA320-232",
"N468UP",0,"Boeing","757-24APF",
"N468WN",143,"THEBOEINGCO","B-737-7H4",
