"TAIL_NUMBER","NUMBER_OF_SEATS","MANUFACTURER","MODEL",
"N599JB",150,"AirbusIndustrie","A320-232",
"N599NN",90,"GE","CRJ900",
"N600LR",76,"BOMBARDIER","CRJ-900LR-PSGR",
"N600NN",90,"GE","CRJ900",
"N601AW",150,"Airbus","A320-232",
"N601EN",90,"GE","CRJ900",
"N601FE",0,"MCDONNELLDOUGLAS","MD-11",
"N601LR",76,"BOMBARDIER","CRJ-900LR-PSGR",
"N601NK",178,"AirbusIndustries","A-320-PSGR",
"N601UX",70,"Embraer","EMB-175",
"N601XJ",50,"Bombardier","CRJ200-2B19",
"N602FE",0,"MCDONNELLDOUGLAS","MD-11",
"N602KW",218,"Boeing","B-767-238PSGR",
"N602LR",76,"BOMBARDIER","CRJ-900LR-PSGR",
"N602NK",178,"AirbusIndustries","A-320-PSGR",
"N602NN",90,"GE","CRJ900",
"N602UX",70,"Embraer","EMB-175",
"N602XJ",50,"Bombardier","CRJ200-2B19",
"N603AT",110,"BOEINGCOMPANY","717-200-PSGR",
"N603CZ",76,"Embraer","EMB175",
"N603FE",0,"MCDONNELLDOUGLAS","MD-11",
"N603JB",150,"AirbusIndustrie","A320-232",
"N603KW",218,"Boeing","B-767-246PSGR",
"N603NK",178,"AirbusIndustries","A-320-PSGR",
"N603NN",90,"GE","CRJ900",
"N603SK",66,"Bombardier","CRJ700-2C10",
"N603UX",70,"Embraer","EMB-175",
"N604AW",150,"Airbus","A320-232",
"N604CZ",76,"Embraer","EMB175",
"N604FE",0,"MCDONNELLDOUGLAS","MD-11",
"N604KW",236,"Boeing","B-767-233PSGR",
"N604LR",76,"BOMBARDIER","CRJ-900LR-PSGR",
"N604NK",178,"AirbusIndustries","A-320-PSGR",
"N604NN",90,"GE","CRJ900",
"N604SK",66,"Bombardier","CRJ700-2C10",
"N604UX",70,"Embraer","EMB-175",
"N605AE",50,"Embraer","EMB-145",
"N605DL",0,"BOEING","757-200",
"N605FE",0,"MCDONNELLDOUGLAS","MD-11",
"N605JB",162,"AirbusIndustrie","A320-232",
"N605KW",236,"Boeing","B-767-266PSGR",
"N605LR",76,"BOMBARDIER","CRJ-900LR-PSGR",
"N605NK",178,"AirbusIndustries","A-320-PSGR",
"N605NN",90,"GE","CRJ900",
"N605UP",0,"Boeing","747-8F",
"N606AE",50,"Embraer","EMB-145",
"N606FE",0,"MCDONNELLDOUGLAS","MD-11",
"N606JB",162,"AirbusIndustrie","A320-232",
"N606LR",76,"BOMBARDIER","CRJ-900LR-PSGR",
"N606NK",178,"AirbusIndustries","A-320-PSGR",
"N606NN",90,"GE","CRJ900",
"N606SK",66,"Bombardier","CRJ700-2C10",
"N606UP",0,"Boeing","747-8F",
"N606UX",70,"Embraer","EMB-175",
"N607AE",50,"Embraer","EMB-145",
"N607AS",120,"TheBoeingCompany","B737-790ALLPAX",
"N607AT",110,"BOEINGCOMPANY","717-200-PSGR",
"N607CZ",76,"Embraer","EMB175",
"N607FE",0,"MCDONNELLDOUGLAS","MD-11",
"N607JB",162,"AirbusIndustrie","A320-232",
"N607LR",76,"BOMBARDIER","CRJ-900LR-PSGR",
"N607NK",178,"AirbusIndustries","A-320-PSGR",
"N607NN",90,"GE","CRJ900",
"N607SK",66,"Bombardier","CRJ700-2C10",
"N607UP",0,"Boeing","747-8F",
"N607UX",70,"Embraer","EMB-175",
"N608AT",110,"BOEINGCOMPANY","717-200-PSGR",
"N608CZ",76,"Embraer","EMB175",
"N608FE",0,"MCDONNELLDOUGLAS","MD-11",
"N608JB",150,"AirbusIndustrie","A320-232",
"N608NK",178,"AirbusIndustries","A-320-PSGR",
"N608NN",90,"GE","CRJ900",
"N608SK",66,"Bombardier","CRJ700-2C10",
"N608UP",0,"Boeing","747-8F",
"N608UX",70,"Embraer","EMB-175",
"N609AS",120,"TheBoeingCompany","B737-790ALLPAX",
"N609FE",0,"MCDONNELLDOUGLAS","MD-11",
"N609NK",178,"AirbusIndustries","A-320-PSGR",
"N609NN",90,"GE","CRJ900",
"N609SK",66,"Bombardier","CRJ700-2C10",
"N609UP",0,"Boeing","747-8F",
"N609UX",70,"Embraer","EMB-175",
"N610AE",50,"Embraer","EMB-145",
"N610CZ",76,"Embraer","EMB175",
"N610FE",0,"MCDONNELLDOUGLAS","MD-11",
"N610NN",90,"GE","CRJ900",
"N610UP",0,"Boeing","747-8F",
"N610UX",70,"Embraer","EMB-175",
"N611AE",50,"Embraer","EMB-145",
"N611AS",120,"TheBoeingCompany","B737-790ALLPAX",
"N611NK",178,"AirbusIndustries","A-320-PSGR",
"N611NN",90,"GE","CRJ900",
"N611SK",66,"Bombardier","CRJ700-2C10",
"N611UP",0,"Boeing","747-8F",
"N611UX",70,"Embraer","EMB-175",
"N612AE",50,"Embraer","EMB-145",
"N612AS",120,"TheBoeingCompany","B737-790ALLPAX",
"N612FE",0,"MCDONNELLDOUGLAS","MD-11",
"N612JB",162,"AirbusIndustrie","A320-232",
"N612NK",178,"AirbusIndustries","A-320-PSGR",
"N612NN",90,"GE","CRJ900",
"N612UP",0,"Boeing","747-8F",
"N612UX",70,"Embraer","EMB-175",
"N61318",13,"Gulfstream","GA-V-V",
"N613AE",50,"Embraer","EMB-145",
"N613AS",120,"TheBoeingCompany","B737-790ALLPAX",
"N613CZ",76,"Embraer","EMB175",
"N613FE",0,"MCDONNELLDOUGLAS","MD-11",
"N613JB",150,"AirbusIndustrie","A320-232",
"N613NK",178,"AirbusIndustries","A-320-PSGR",
"N613SK",66,"Bombardier","CRJ700-2C10",
"N613UP",0,"Boeing","747-8F",
"N613UX",70,"Embraer","EMB-175",
"N614AS",120,"TheBoeingCompany","B737-790ALLPAX",
"N614CZ",76,"Embraer","EMB175",
"N614FE",0,"MCDONNELLDOUGLAS","MD-11",
"N614NK",178,"AirbusIndustries","A-320-PSGR",
"N614SK",66,"Bombardier","CRJ700-2C10",
"N614UP",0,"Boeing","747-8F",
"N614UX",70,"Embraer","EMB-175",
"N615AE",50,"Embraer","EMB-145",
"N615AS",120,"TheBoeingCompany","B737-790ALLPAX",
"N615CZ",76,"Embraer","EMB175",
"N615FE",0,"MCDONNELLDOUGLAS","MD-11",
"N615JB",150,"AirbusIndustrie","A320-232",
"N615NK",178,"AirbusIndustries","A-320-PSGR",
"N615UP",0,"Boeing","747-8F",
"N615UX",70,"Embraer","EMB-175",
"N616AE",50,"Embraer","EMB-145",
"N616CZ",76,"Embraer","EMB175",
"N616FE",0,"MCDONNELLDOUGLAS","MD-11",
"N616NK",178,"AirbusIndustries","A-320-PSGR",
"N616RR",13,"Gulfstream","G-IV",
"N616UP",0,"Boeing","747-8F",
"N616UX",70,"Embraer","EMB-175",
"N6174C",0,"Douglas","DC-6ACARGO",
"N617CZ",76,"Embraer","EMB175",
"N617FE",0,"MCDONNELLDOUGLAS","MD-11",
"N617NK",178,"AirbusIndustries","A-320-PSGR",
"N617UP",0,"Boeing","747-8F",
"N617UX",70,"Embraer","EMB-175",
"N61881",173,"BoeingCo","B737-900ERPAX",
"N61882",173,"BoeingCo","B737-900ERPAX",
"N61886",173,"BoeingCo","B737-900ERPAX",
"N61887",173,"BoeingCo","B737-900ERPAX",
"N61898",173,"BoeingCo","B737-900ERPAX",
"N618AE",50,"Embraer","EMB-145",
"N618AS",120,"TheBoeingCompany","B737-790ALLPAX",
"N618FE",0,"MCDONNELLDOUGLAS","MD-11",
"N618JB",150,"AirbusIndustrie","A320-232",
"N618NK",178,"AirbusIndustries","A-320-PSGR",
"N618UP",0,"Boeing","747-8F",
"N618UX",70,"Embraer","EMB-175",
"N619AE",50,"Embraer","EMB-145",
"N619AS",120,"TheBoeingCompany","B737-790ALLPAX",
"N619CZ",76,"Embraer","EMB175",
"N619FE",0,"MCDONNELLDOUGLAS","MD-11",
"N619NK",178,"AirbusIndustries","A-320-PSGR",
"N619UX",70,"Embraer","EMB-175",
"N620DL",0,"BOEING","757-200",
"N620FE",0,"MCDONNELLDOUGLAS","MD-11",
"N620NK",178,"AirbusIndustries","A-320-PSGR",
"N620QX",76,"Embraer","ERJ170-200LRALLPAX",
"N620UX",70,"Embraer","EMB-175",
"N621CZ",76,"Embraer","EMB175",
"N621FE",0,"MCDONNELLDOUGLAS","MD-11",
"N621JB",162,"AirbusIndustrie","A320-232",
"N621NK",178,"AirbusIndustries","A-320-PSGR",
"N621UX",70,"Embraer","EMB-175",
"N621VA",149,"AirbusCompany","A320",
"N622AE",50,"Embraer","EMB-145",
"N622AS",120,"TheBoeingCompany","B737-790ALLPAX",
"N622CZ",76,"Embraer","EMB175",
"N622NK",178,"AirbusIndustries","A-320-PSGR",
"N622QX",76,"Embraer","ERJ170-200LRALLPAX",
"N622UX",70,"Embraer","EMB-175",
"N622VA",149,"AirbusCompany","A320",
"N623AE",50,"Embraer","EMB-145",
"N623FE",0,"MCDONNELLDOUGLAS","MD-11",
"N623JB",150,"AirbusIndustrie","A320-232",
"N623NK",178,"AirbusIndustries","A-320-PSGR",
"N623QX",76,"Embraer","ERJ170-200LRALLPAX",
"N623UX",70,"Embraer","EMB-175",
"N623VA",149,"AirbusCompany","A320",
"N624AG",168,"BOEINGCOMPANY","757-2Q8-PSGR",
"N624FE",0,"MCDONNELLDOUGLAS","MD-11",
"N624JB",150,"AirbusIndustrie","A320-232",
"N624NK",178,"AirbusIndustries","A-320-PSGR",
"N624QX",76,"Embraer","ERJ170-200LRALLPAX",
"N624UX",70,"Embraer","EMB-175",
"N624VA",149,"AirbusCompany","A320",
"N625AS",0,"TheBoeingCompany","B737-790ALLPAX",
"N625CA",66,"Bombardier","CRJ700-2C10",
"N625FE",0,"MCDONNELLDOUGLAS","MD-11",
"N625JB",150,"AirbusIndustrie","A320-232",
"N625NK",178,"AirbusIndustries","A-320-PSGR",
"N625QX",76,"Embraer","ERJ170-200LRALLPAX",
"N625UX",70,"Embraer","EMB-175",
"N625VA",149,"AirbusCompany","A320",
"N626AS",0,"TheBoeingCompany","B737-790ALLPAX",
"N626NK",178,"AirbusIndustries","A-320-PSGR",
"N626QX",76,"Embraer","ERJ170-200LRALLPAX",
"N626VA",149,"AirbusCompany","A320",
"N627AS",0,"TheBoeingCompany","B737-790ALLPAX",
"N627JB",162,"AirbusIndustrie","A320-232",
"N627NK",178,"AirbusIndustries","A-320-PSGR",
"N627QX",76,"Embraer","ERJ170-200LRALLPAX",
"N627VA",149,"AirbusCompany","A320",
"N62849",173,"BoeingCo","B737-900ERPAX",
"N62883",173,"BoeingCo","B737-900ERPAX",
"N62884",173,"BoeingCo","B737-900ERPAX",
"N62889",173,"BoeingCo","B737-900ERPAX",
"N62892",173,"BoeingCo","B737-900ERPAX",
"N62894",173,"BoeingCo","B737-900ERPAX",
"N62895",173,"BoeingCo","B737-900ERPAX",
"N62896",173,"BoeingCo","B737-900ERPAX",
"N628FE",0,"MCDONNELLDOUGLAS","MD-11",
"N628NK",178,"AirbusIndustries","A-320-PSGR",
"N628QX",76,"Embraer","ERJ170-200LRALLPAX",
"N628VA",149,"AirbusCompany","A320",
"N629BR",50,"Bombardier","CRJ200-2B19",
"N629JB",162,"AirbusIndustrie","A320-232",
"N629NK",178,"AirbusIndustries","A-320-PSGR",
"N629QX",76,"Embraer","ERJ170-200LRALLPAX",
"N629VA",149,"AirbusCompany","A320",
"N630JB",150,"AirbusIndustrie","A320-232",
"N630NK",178,"AirbusIndustries","A-320-PSGR",
"N630QX",76,"Embraer","ERJ170-200LRALLPAX",
"N630SK",66,"Bombardier","CRJ700-2C10",
"N630VA",149,"AirbusCompany","A320",
"N631CZ",76,"Embraer","EMB175",
"N631FE",0,"MCDONNELLDOUGLAS","MD-11",
"N631NK",178,"AirbusIndustries","A-320-PSGR",
"N631QX",76,"Embraer","ERJ170-200LRALLPAX",
"N631RW",70,"Embraer","ERJ-170-200LR",
"N631SK",66,"Bombardier","CRJ700-2C10",
"N631VA",149,"AirbusCompany","A320",
"N632JB",162,"AirbusIndustrie","A320-232",
"N632NK",178,"AirbusIndustries","A-320-PSGR",
"N632QX",76,"Embraer","ERJ170-200LRALLPAX",
"N632RW",70,"Embraer","ERJ-170-200LR",
"N632SK",66,"Bombardier","CRJ700-2C10",
"N632VA",149,"AirbusCompany","A320",
"N633JB",150,"AirbusIndustrie","A320-232",
"N633NK",178,"AirbusIndustries","A-320-PSGR",
"N633QX",76,"Embraer","ERJ170-200LRALLPAX",
"N633RW",70,"Embraer","ERJ-170-200LR",
"N633SK",66,"Bombardier","CRJ700-2C10",
"N633VA",149,"AirbusCompany","A320",
"N634JB",162,"AirbusIndustrie","A320-232",
"N634NK",178,"AirbusIndustries","A-320-PSGR",
"N634QX",76,"Embraer","ERJ170-200LRALLPAX",
"N634RW",70,"Embraer","ERJ-170-200LR",
"N635JB",150,"AirbusIndustrie","A320-232",
"N635NK",178,"AirbusIndustries","A-320-PSGR",
"N635QX",76,"Embraer","ERJ170-200LRALLPAX",
"N635RW",70,"Embraer","ERJ-170-200LR",
"N635VA",149,"AirbusCompany","A320",
"N636JB",162,"AirbusIndustrie","A320-232",
"N636NK",178,"AirbusIndustries","A-320-PSGR",
"N636QX",76,"Embraer","ERJ170-200LRALLPAX",
"N636RW",70,"Embraer","ERJ-170-100SE",
"N636VA",149,"AirbusCompany","A320",
"N637JB",150,"AirbusIndustrie","A320-232",
"N637NK",178,"AirbusIndustries","A-320-PSGR",
"N637QX",76,"Embraer","ERJ170-200LRALLPAX",
"N637RW",70,"Embraer","ERJ-170-100SE",
"N637VA",149,"AirbusCompany","A320",
"N63820",173,"BoeingCo","B737-900ERPAX",
"N63890",173,"BoeingCo","B737-900ERPAX",
"N63899",173,"BoeingCo","B737-900ERPAX",
"N638JB",150,"AirbusIndustrie","A320-232",
"N638NK",178,"AirbusIndustries","A-320-PSGR",
"N638QX",76,"Embraer","ERJ170-200LRALLPAX",
"N638RW",70,"Embraer","ERJ-170-100SE",
"N638VA",149,"AirbusCompany","A320",
"N639JB",150,"AirbusIndustrie","A320-232",
"N639NK",178,"AirbusIndustries","A-320-PSGR",
"N639QX",76,"Embraer","ERJ170-200LRALLPAX",
"N639RW",70,"Embraer","ERJ-170-100SE",
"N639VA",149,"AirbusCompany","A320",
"N640GT",269,"BOEING","B767-300ER",
"N640JB",150,"AirbusIndustrie","A320-232",
"N640NK",178,"AirbusIndustries","A-320-PSGR",
"N640RW",70,"Embraer","ERJ-170-100SE",
"N640VA",149,"AirbusCompany","A320",
"N641CA",66,"Bombardier","CRJ700-2C10",
"N641GT",269,"BOEING","B767-300ER",
"N641JB",162,"AirbusIndustrie","A320-232",
"N641NK",178,"AirbusIndustries","A-320-PSGR",
"N641QX",76,"Embraer","ERJ170-200LRALLPAX",
"N641RW",70,"Embraer","ERJ-170-100SE",
"N641UA",198,"BoeingCo","B767-322ERPAX",
"N641VA",149,"AirbusCompany","A320",
"N642FE",0,"MCDONNELLDOUGLAS","MD-11",
"N642GT",0,"BOEING","B767-300",
"N642NK",178,"AirbusIndustries","A-320-PSGR",
"N642QX",76,"Embraer","ERJ170-200LRALLPAX",
"N642RW",70,"Embraer","ERJ-170-100SE",
"N642UA",198,"BoeingCo","B767-322ERPAX",
"N642VA",149,"AirbusCompany","A320",
"N643FE",0,"MCDONNELLDOUGLAS","MD-11",
"N643GT",0,"BOEING","B767-300",
"N643JB",162,"AirbusIndustrie","A320-232",
"N643NK",178,"AirbusIndustries","A-320-PSGR",
"N643QX",76,"Embraer","ERJ170-200LRALLPAX",
"N643RW",70,"Embraer","ERJ-170-100SE",
"N643UA",198,"BoeingCo","B767-322ERPAX",
"N644AS",120,"TheBoeingCompany","B737-790ALLPAX",
"N644GT",0,"BOEING","B767-300",
"N644JB",162,"AirbusIndustrie","A320-232",
"N644NK",182,"AirbusIndustries","A-320-PSGR",
"N644QX",76,"Embraer","ERJ170-200LRALLPAX",
"N644RW",70,"Embraer","ERJ-170-100SE",
"N644UA",198,"BoeingCo","B767-322ERPAX",
"N645GT",269,"BOEING","B767-300ER",
"N645JB",150,"AirbusIndustrie","A320-232",
"N645NK",182,"AirbusIndustries","A-320-PSGR",
"N645QX",76,"Embraer","ERJ170-200LRALLPAX",
"N645RW",70,"Embraer","ERJ-170-100SE",
"N646JB",162,"AirbusIndustrie","A320-232",
"N646NK",182,"AirbusIndustries","A-320-PSGR",
"N646QX",76,"Embraer","ERJ170-200LRALLPAX",
"N646RW",70,"Embraer","ERJ-170-100SE",
"N646UA",198,"BoeingCo","B767-322ERPAX",
"N647AW",150,"Airbus","A320-232",
"N647GT",0,"BOEING","B767-300",
"N647NK",182,"AirbusIndustries","A-320-PSGR",
"N647QX",76,"Embraer","ERJ170-200LRALLPAX",
"N647RW",70,"Embraer","ERJ-170-100SE",
"N647UA",198,"BoeingCo","B767-322ERPAX",
"N64809",173,"BoeingCo","B737-900ERPAX",
"N64844",173,"BoeingCo","B737-900ERPAX",
"N648JB",150,"AirbusIndustrie","A320-232",
"N648NK",182,"AirbusIndustries","A-320-PSGR",
"N648QX",76,"Embraer","ERJ170-200LRALLPAX",
"N648RR",9,"Gulfstream","G-200",
"N648RW",70,"Embraer","ERJ-170-100SE",
"N648UA",198,"BoeingCo","B767-322ERPAX",
"N649AW",150,"Airbus","A320-232",
"N649GT",269,"BOEING","B767-300ER",
"N649JB",162,"AirbusIndustrie","A320-232",
"N649NK",182,"AirbusIndustries","A-320-PSGR",
"N649QX",76,"Embraer","ERJ170-200LRALLPAX",
"N649RW",70,"Embraer","ERJ-170-100SE",
"N649UA",198,"BoeingCo","B767-322ERPAX",
"N650AW",150,"Airbus","A320-232",
"N650EH",14,"Gulfstream","G-650",
"N650FE",0,"AIRBUS","A-300-600",
"N650GT",0,"BOEING","B767-200",
"N650MS",14,"Gulfstream","G-650",
"N650NB",14,"Gulfstream","G-650",
"N650NK",182,"AirbusIndustries","A-320-PSGR",
"N650QX",76,"Embraer","ERJ170-200LRALLPAX",
"N650RW",70,"Embraer","ERJ-170-100SE",
"N650TP",13,"Gulfstream","G-650",
"N650XF",14,"Gulfstream","G-650",
"N651AW",150,"Airbus","A320-232",
"N651FE",0,"AIRBUS","A-300-600",
"N651GT",0,"BOEING","B767-200",
"N651JB",162,"AirbusIndustrie","A320-232",
"N651NK",182,"AirbusIndustries","A-320-PSGR",
"N651QX",76,"Embraer","ERJ170-200LRALLPAX",
"N651RW",70,"Embraer","ERJ-170-100SE",
"N651UA",198,"BoeingCo","B767-322ERPAX",
"N652AW",150,"Airbus","A320-232",
"N652BR",50,"Bombardier","CRJ200-2B19",
"N652FE",0,"AIRBUS","A-300-600",
"N652GT",0,"BOEING","B767-200",
"N652JB",162,"AirbusIndustrie","A320-232",
"N652NK",182,"AirbusIndustries","A-320-PSGR",
"N652RW",70,"Embraer","ERJ-170-100SE",
"N652UA",198,"BoeingCo","B767-322ERPAX",
"N653AE",50,"Embraer","EMB-145",
"N653AW",150,"Airbus","A320-232",
"N653CA",70,"BombardierAerospace","CRJ70C",
"N653FE",0,"AIRBUS","A-300-600",
"N653GT",0,"BOEING","B767-200",
"N653JB",162,"AirbusIndustrie","A320-232",
"N653NK",182,"AirbusIndustries","A-320-PSGR",
"N653RW",70,"Embraer","ERJ-170-100SE",
"N653UA",198,"BoeingCo","B767-322ERPAX",
"N654A",184,"Boeing","B757-223",
"N654AW",150,"Airbus","A320-232",
"N654FE",0,"AIRBUS","A-300-600",
"N654NK",182,"AirbusIndustries","A-320-PSGR",
"N654RW",70,"Embraer","ERJ-170-100SE",
"N654UA",198,"BoeingCo","B767-322ERPAX",
"N655AW",150,"Airbus","A320-232",
"N655CA",69,"BOMBARDIER","CRJ-700LR-PSGR",
"N655FE",0,"AIRBUS","A-300-600",
"N655GT",0,"BOEING","B767-200",
"N655JB",150,"AirbusIndustrie","A320-232",
"N655NK",182,"AirbusIndustries","A-320-PSGR",
"N655RW",70,"Embraer","ERJ-170-100SE",
"N655UA",198,"BoeingCo","B767-322ERPAX",
"N656AW",150,"Airbus","A320-232",
"N656CA",70,"BombardierAerospace","CRJ70C",
"N656FE",0,"AIRBUS","A-300-600",
"N656GT",0,"BOEING","B767-200",
"N656JB",150,"AirbusIndustrie","A320-232",
"N656NK",182,"AirbusIndustries","A-320-PSGR",
"N656RW",70,"Embraer","ERJ-170-100SE",
"N656UA",198,"BoeingCo","B767-322ERPAX",
"N657AW",150,"Airbus","A320-232",
"N657FE",0,"AIRBUS","A-300-600",
"N657GT",0,"BOEING","B767-200",
"N657JB",150,"AirbusIndustrie","A320-232",
"N657NK",228,"AirbusIndustries","A-321-PSGR",
"N657RW",70,"Embraer","ERJ-170-100SE",
"N657UA",198,"BoeingCo","B767-322ERPAX",
"N65832",173,"BoeingCo","B737-900ERPAX",
"N658AW",150,"Airbus","A320-232",
"N658CA",70,"BombardierAerospace","CRJ70C",
"N658DL",199,"BOEINGCOMPANY","757-232-PSGR",
"N658FE",0,"AIRBUS","A-300-600",
"N658GT",0,"BOEING","B767-200",
"N658JB",150,"AirbusIndustrie","A320-232",
"N658NK",228,"AirbusIndustries","A-321-PSGR",
"N658UA",198,"BoeingCo","B767-322ERPAX",
"N659AW",150,"Airbus","A320-232",
"N659BR",50,"Bombardier","CRJ200-2B19",
"N659CA",70,"BombardierAerospace","CRJ70C",
"N659DL",199,"BOEINGCOMPANY","757-232-PSGR",
"N659FE",0,"AIRBUS","A-300-600",
"N659GT",0,"BOEING","B767-200",
"N659JB",150,"AirbusIndustrie","A320-232",
"N659NK",228,"AirbusIndustries","A-321-PSGR",
"N659UA",198,"BoeingCo","B767-322ERPAX",
"N66051",235,"BoeingCo","B767-400PAX",
"N66056",235,"BoeingCo","B767-400PAX",
"N66057",235,"BoeingCo","B767-400PAX",
"N660AW",150,"Airbus","A320-232",
"N660DL",199,"BOEINGCOMPANY","757-232-PSGR",
"N660FE",0,"AIRBUS","A-300-600",
"N660NK",228,"AirbusIndustries","A-321-PSGR",
"N660UA",198,"BoeingCo","B767-322ERPAX",
"N661AW",150,"Airbus","A320-232",
"N661FE",0,"AIRBUS","A-300-600",
"N661JA",50,"Embraer","EMB-145",
"N661JB",150,"AirbusIndustrie","A320-232",
"N661NK",228,"AirbusIndustries","A-321-PSGR",
"N661UA",198,"BoeingCo","B767-322ERPAX",
"N662AW",150,"Airbus","A320-232",
"N662EH",50,"Embraer","EMB-145",
"N662FE",0,"AIRBUS","A-300-600",
"N662GT",269,"BOEING","B767-300ER",
"N662JB",150,"AirbusIndustrie","A320-232",
"N662NK",228,"AirbusIndustries","A-321-PSGR",
"N662UA",198,"BoeingCo","B767-322ERPAX",
"N663AR",50,"Embraer","EMB-145",
"N663AW",150,"Airbus","A320-232",
"N663FE",0,"AIRBUS","A-300-600",
"N663GT",269,"BOEING","B767-300ER",
"N663JB",150,"AirbusIndustrie","A320-232",
"N663NK",228,"AirbusIndustries","A-321-PSGR",
"N663SB",9,"Gulfstream","G-200",
"N663UA",198,"BoeingCo","B767-322ERPAX",
"N664AW",150,"Airbus","A320-232",
"N664FE",0,"AIRBUS","A-300-600",
"N664MS",50,"Embraer","EMB-145",
"N664NK",228,"AirbusIndustries","A-321-PSGR",
"N664UA",198,"BoeingCo","B767-322DRPAX",
"N665AW",150,"Airbus","A320-232",
"N665DN",199,"BOEINGCOMPANY","757-232-PSGR",
"N665FE",0,"AIRBUS","A-300-600",
"N665JB",162,"AirbusIndustrie","A320-232",
"N665NK",228,"AirbusIndustries","A-321-PSGR",
"N665UA",198,"BoeingCo","B767-322DRPAX",
"N666UA",198,"BoeingCo","B767-322DRPAX",
"N667AW",150,"Airbus","A320-232",
"N667DN",199,"BOEINGCOMPANY","757-232-PSGR",
"N667FE",0,"AIRBUS","A-300-600",
"N667GB",50,"Embraer","EMB-145",
"N667JD",13,"Bombardier","BD-700-1A10PSGR",
"N667NK",228,"AirbusIndustries","A-321-PSGR",
"N667UA",198,"BoeingCo","B767-322DRPAX",
"N66803",173,"BoeingCo","B737-900ERPAX",
"N66808",173,"BoeingCo","B737-900ERPAX",
"N66814",173,"BoeingCo","B737-900ERPAX",
"N66825",173,"BoeingCo","B737-900ERPAX",
"N66828",173,"BoeingCo","B737-900ERPAX",
"N66831",173,"BoeingCo","B737-900ERPAX",
"N66837",173,"BoeingCo","B737-900ERPAX",
"N66841",173,"BoeingCo","B737-900ERPAX",
"N66848",173,"BoeingCo","B737-900ERPAX",
"N66893",173,"BoeingCo","B737-900ERPAX",
"N66897",173,"BoeingCo","B737-900ERPAX",
"N668AW",150,"Airbus","A320-232",
"N668CA",69,"BOMBARDIER","CRJ-700LR-PSGR",
"N668CP",136,"BOEING","B-737-76N",
"N668DN",199,"BOEINGCOMPANY","757-232-PSGR",
"N668FE",0,"AIRBUS","A-300-600",
"N668HH",50,"Embraer","EMB-145",
"N668NK",228,"AirbusIndustries","A-321-PSGR",
"N668UA",198,"BoeingCo","B767-322DRPAX",
"N669AW",150,"Airbus","A320-232",
"N669CA",70,"BombardierAerospace","CRJ70C",
"N669DN",199,"BOEINGCOMPANY","757-232-PSGR",
"N669FE",0,"AIRBUS","A-300-600",
"N669NK",228,"AirbusIndustries","A-321-PSGR",
"N669UA",198,"BoeingCo","B767-322DRPAX",
"N66BW",8,"Raetheon","HAWK4000",
"N6700",199,"BOEINGCOMPANY","757-232-PSGR",
"N6701",199,"BOEINGCOMPANY","757-232-PSGR",
"N6702",199,"BOEINGCOMPANY","757-232-PSGR",
"N6703D",199,"BOEINGCOMPANY","757-232-PSGR",
"N6704Z",199,"BOEINGCOMPANY","757-232-PSGR",
"N67052",235,"BoeingCo","B767-400PAX",
"N67058",235,"BoeingCo","B767-400PAX",
"N6705Y",199,"BOEINGCOMPANY","757-232-PSGR",
"N6706Q",199,"BOEINGCOMPANY","757-232-PSGR",
"N6707A",199,"BOEINGCOMPANY","757-232-PSGR",
"N6708D",199,"BOEINGCOMPANY","757-232-PSGR",
"N6709",199,"BOEINGCOMPANY","757-232-PSGR",
"N670AE",50,"Embraer","EMB-145",
"N670DN",199,"BOEINGCOMPANY","757-232-PSGR",
"N670FE",0,"AIRBUS","A-300-600",
"N670NK",228,"AirbusIndustries","A-321-PSGR",
"N670UA",198,"BoeingCo","B767-322DRPAX",
"N6710E",199,"BOEINGCOMPANY","757-232-PSGR",
"N6711M",199,"BOEINGCOMPANY","757-232-PSGR",
"N6712B",199,"BOEINGCOMPANY","757-232-PSGR",
"N67134",169,"BoeingCo","B757-200PAX",
"N6713Y",199,"BOEINGCOMPANY","757-232-PSGR",
"N6714Q",199,"BOEINGCOMPANY","757-232-PSGR",
"N6715C",199,"BOEINGCOMPANY","757-232-PSGR",
"N6716C",199,"BOEINGCOMPANY","757-232-PSGR",
"N67171",199,"BOEINGCOMPANY","757-232-PSGR",
"N671AE",50,"Embraer","EMB-145",
"N671DN",199,"BOEINGCOMPANY","757-232-PSGR",
"N671FE",0,"AIRBUS","A-300-600",
"N671LE",16,"Gulfstream","G-550",
"N671NK",228,"AirbusIndustries","A-321-PSGR",
"N671UA",198,"BoeingCo","B767-322DRPAX",
"N672DL",199,"BOEINGCOMPANY","757-232-PSGR",
"N672FE",0,"AIRBUS","A-300-600",
"N672NK",228,"AirbusIndustries","A-321-PSGR",
"N672UA",198,"BoeingCo","B767-322DRPAX",
"N673AE",50,"Embraer","EMB-140",
"N673AW",150,"Airbus","A320-232",
"N673DL",199,"BOEINGCOMPANY","757-232-PSGR",
"N673FE",0,"AIRBUS","A-300-600",
"N673MM",16,"Gulfstream","G-III/V/550",
"N673NK",228,"AirbusIndustries","A-321-PSGR",
"N673UA",198,"BoeingCo","B767-322DRPAX",
"N674DL",199,"BOEINGCOMPANY","757-232-PSGR",
"N674FE",0,"AIRBUS","A-300-600",
"N674NK",228,"AirbusIndustries","A-321-PSGR",
